id;first_name;last_name;email;date_of_birth;email_verified;sign_up_date
1;Theresa;Miller;Jacinthe.Walter@yahoo.com;frantically;false;meh
2;Gordon;Gutmann;Camille.Pfeffer52@yahoo.com;tectonics knavishly;true;quixotic
3;Retta;Padberg;Agustina.Ledner@hotmail.com;furthermore eke dock;true;hotfoot founder down
4;Eloy;Corkery;Gennaro_Upton16@yahoo.com;gah anenst;false;ascribe heating fiercely
5;Dedrick;Greenfelder;Delia53@gmail.com;familiar shell;false;meaty
6;Cleo;Ruecker;Tremaine42@hotmail.com;through;true;yuck
7;Malinda;Stoltenberg;Felicia.Ryan44@hotmail.com;hassle;true;finally except
8;Baby;Parisian;Betsy89@yahoo.com;undergo bulky fax;false;under aircraft than
9;Laury;Schinner;Elyssa.Frami@hotmail.com;commonly;true;well-to-do hydrocarbon
10;Julian;Johnston;Garrett28@yahoo.com;operating from emerge;false;ordinary
